SubjectNumber,Gender,Age,Site,BirthState,Occupation,Education,NumberOfChildren,Fitness,CarMake,CarYear,CarModel,Race,ReportedHeight,ReportedWeight,MaritalStatus,FamilyIncome,ShoeSize,JacketSize,PantsSizeWaist,PantsSizeInseam,BlouseSize,PantsSizeWoman,BraSize,AcromialHeight_Sitting,AnkleCircumference,Spine_to_Shoulder,Spine_to_Elbow,ArmLength_SpineToWrist,ArmLength_ShoulderToWrist,ArmLength_ShoulderToElbow,ArmscyeCircumference_ScyeCircOverAcromion,BizygomaticBreadth,ChestCircumference,Bust_ChestCircumferenceUnderBust,Buttock_KneeLength,ChestGirthAtScye_ChestCircumferenceAtScye,CrotchHeight,ElbowHeight_Sitting,EyeHeight_Sitting,FaceLength,FootLength,HandCircumference,HandLength,HeadBreadth,HeadCircumference,HeadLength,HipBreadth_Sitting,HipCircumference_Maximum,HipCircMaxHeight,KneeHeight,NeckBaseCircumference,ShoulderBreadth,SittingHeight,Stature,SubscapularSkinfold,ThighCircumference,ThighCircumferenceMaxSitting,ThumbTipReach,TTR1,TTR2,TTR3,TricepsSkinfold,TotalCrotchLength_CrotchLength,VerticalTrunkCircumference,WaistCircumference_Pref,WaistFrontLength,WaistHeight_Preferred,Weight,Var1,Var2,Var3,CupSize
1130,Female,58,Ames IA,Midwest,White Collar,14,3,5,Economy,1994,Sedan,,1625.6,79.36507937,Divorced/Widowed,37500,9,NaN,NaN,NaN,14,14,36,558,246,206,528,782,576,322,414,134,1086,907,620,990,729,226,737,115,254,205,199,146,544,183,439,1158,896,508,410,461,848,1616,48.5,646,650,740.6,738,740,744,30,792,1666,911,392,1008,82.99319728,-0.437603116,0.901687503,-0.160892278,2
1131,Male,26,Ames IA,Midwest,White Collar,16,0,2.5,Economy,1995,Sedan,White,1676.4,95.23809524,Married,37500,9.5,NaN,36,28,NaN,NaN,NaN,611,265,200,524,808,608,324,487,150,1095,NaN,591,1139,737,271,786,126,258,203,195,156,582,203,411,1102,748,528,489,526,909,1695,25,665,680,776.3,775,777,777,31,613,1767,964,515,934,95.01133787,-0.546740055,1.558355212,0,NaN
1132,Female,24,Ames IA,Midwest,,18,0,2.5,Economy,1981,Sedan,White,1689.1,56.6893424,Single,12500,7.5,NaN,NaN,NaN,6,6,36,579,245,197,522,781,584,325,362,132,885,737,577,853,797,248,790,109,237,186,191,146,555,190,359,925,831,522,407,421,900,1703,9.5,545,558,725.3,722,734,720,10.5,644,1515,639,380,1051,56.23582766,0.594624579,-0.852106452,-0.768765509,2
1135,Male,60,Ames IA,Midwest,,12,3,2.5,Economy,1994,Non-sedan,White,1828.8,87.07482993,Married,90000,11,44,36,32,NaN,NaN,NaN,614,274,208,557,865,657,349,458,143,1019,NaN,639,1009,811,234,831,121,277,226,209,161,584,202,381,1036,916,576,481,481,951,1828,24,583,601,824,823,825,824,8,640,1773,940,515,1039,88.66213152,0.400015146,-0.533109367,0,NaN
1136,Female,20,Ames IA,Midwest,,12,0,2.5,Economy,1990,Sedan,White,1638.3,53.06122449,Single,NaN,9,NaN,NaN,NaN,4,5,34,563,234,190,511,780,590,321,360,135,864,754,581,856,752,231,746,111,252,186,194,150,541,195,352,927,793,500,399,406,868,1640,9.5,511,515,743,752,735,742,11,584,1501,711,381,968,54.64852608,0.215475678,-0.799685776,-1.196872473,2
1137,Female,49,Ames IA,Midwest,White Collar,21,3,5,Economy,1988,Non-sedan,White,1663.7,59.86394558,Divorced/Widowed,37500,7,NaN,NaN,NaN,6,6,34,589,230,187,498,746,559,311,360,139,888,758,584,832,740,264,765,106,238,182,190,145,538,185,421,995,769,494,387,416,887,1660,7.5,605,621,721.3,725,728,711,10.5,705,1575,670,380,1008,61.9047619,0.231227696,-0.342798799,-0.792096138,3
1138,Female,49,Ames IA,Midwest,White Collar,18,2,5,Economy,1996,Non-sedan,White,1752.6,73.46938776,Married,70000,10,NaN,NaN,NaN,10,10,36,571,251,218,565,844,626,347,412,135,895,800,618,915,828,208,782,117,251,211,204,142,557,188,432,1075,833,564,411,470,896,1736,11.5,628,655,803.3,795,807,808,15,707,1573,725,360,1096,72.33560091,1.231130242,-0.566009939,-1.151690364,1
1139,Female,48,Ames IA,South,,18,0,2.5,Economy,1989,Sedan,Black,1625.6,57.59637188,Divorced/Widowed,12500,6.5,NaN,NaN,NaN,10,10,34,565,228,188,520,770,582,332,401,132,937,748,588,899,749,222,743,106,232,189,186,143,537,192,375,1000,806,490,420,438,851,1616,24,560,550,762.3,744,780,763,13,648,1526,761,375,966,58.27664399,-0.280562878,-0.266051769,-0.412745327,4
1140,Female,48,Ames IA,Midwest,White Collar,18,0,5,Economy,1995,<undefined>,White,1676.4,62.58503401,Single,52500,8.5,NaN,NaN,NaN,10,10,36,578,226,194,530,791,597,336,390,125,913,760,597,880,768,245,769,111,243,201,194,145,555,194,383,1014,821,523,398,420,879,1667,15.5,596,570,739.6,737,742,740,18,735,1573,722,343,1047,62.35827664,0.720861971,-0.657867074,-0.01620567,1
1141,Female,57,Ames IA,Midwest,White Collar,12,0,10,Economy,1992,Non-sedan,White,1574.8,71.6553288,Married,37500,7,NaN,NaN,NaN,14,7,34,582,235,200,512,752,552,312,385,144,975,813,559,944,698,263,771,117,226,194,189,150,558,191,432,1085,757,490,415,441,881,1590,21.5,637,635,685.3,683,680,693,24,745,1610,810,342,975,74.14965986,-0.386220634,0.534326851,0.044536181,2
1142,Female,39,Ames IA,Midwest,,14,2,5,Economy,1993,Non-sedan,White,1701.8,64.39909297,Married,90000,9,NaN,NaN,NaN,10,10,34,595,240,205,546,820,615,341,400,120,908,748,603,866,770,244,808,113,250,196,201,137,556,191,409,1035,818,506,395,436,916,1697,18.5,575,587,748.6,743,754,749,20,725,1600,772,365,1047,65.30612245,0.583460212,-0.239061669,0.483430594,3
1143,Male,40,Ames IA,West,White Collar,16,2,5,Economy,1994,Non-sedan,White,1981.2,109.7505669,Married,90000,14,46,38,36,NaN,NaN,NaN,674,298,236,615,941,705,379,482,148,1110,NaN,663,1105,875,272,893,129,303,231,228,154,581,197,422,1134,971,639,509,540,1022,1965,28.5,632,652,913.3,920,903,917,15,664,1900,1018,552,1108,109.5238095,1.945112824,-0.519552112,0,NaN
1144,Female,59,Ames IA,Northeast,White Collar,21,0,5,Economy,1996,Sedan,White,1727.2,68.02721088,Single,70000,9,NaN,NaN,NaN,14,16,36,590,246,201,535,788,587,334,402,135,888,759,626,864,807,246,779,111,246,194,205,151,551,189,416,1090,846,538,412,444,881,1709,17,612,582,756.6,752,747,771,20.5,742,1600,713,335,1086,67.57369615,1.221341848,-0.542215466,-0.515047848,2
1145,Male,56,Ames IA,Midwest,White Collar,24,4,5,Economy,1995,Non-sedan,White,1625.6,63.49206349,Married,150000,12,44,28,28,NaN,NaN,NaN,540,255,205,521,804,599,316,464,137,995,NaN,554,1029,722,173,715,121,245,202,189,154,542,184,335,901,773,500,448,489,838,1608,8.5,495,500,816.3,801,830,818,5.5,655,1537,738,308,963,60.09070295,-2.54017663,-0.469794035,0,NaN
1146,Male,33,Ames IA,Midwest,White Collar,18,0,2.5,Economy,1996,Sedan,White,2006.6,94.33106576,Single,37500,12,NaN,34,36,NaN,NaN,NaN,672,285,199,605,915,716,406,446,146,1017,NaN,688,1007,924,235,861,147,279,206,223,155,607,215,394,1049,990,643,485,491,1006,1980,13.5,616,635,905,900,913,902,14,672,1810,950,450,1175,93.19727891,1.606475592,-1.715596199,0,NaN
1148,Female,20,Ames IA,Midwest,,12,0,5,Economy,1987,Sedan,White,1778,74.82993197,Single,90000,9.5,NaN,NaN,NaN,10,10,34,608,239,182,531,810,628,349,386,132,930,826,622,864,801,249,805,119,250,187,199,140,575,201,441,1095,851,537,415,430,944,1766,24.5,640,660,766.3,749,766,784,20.5,655,1626,865,445,1030,73.46938776,1.599238515,-0.75828135,-0.554026425,2
1149,Male,46,Ames IA,Midwest,White Collar,18,1,8,Economy,1989,Sedan,White,1930.4,98.86621315,Married,150000,11,44,36,34,NaN,NaN,NaN,630,288,227,593,931,704,366,477,159,1099,NaN,671,1147,881,223,854,122,271,234,217,174,606,202,406,1077,955,632,502,525,981,1918,18.5,624,645,904.3,915,899,899,15,616,1771,993,498,1128,100,0.699320674,-1.34441483,0,NaN
1150,Female,43,Ames IA,Midwest,White Collar,14,2,5,Economy,1991,Sedan,White,1701.8,58.9569161,Married,NaN,8,NaN,NaN,NaN,10,7,36,568,236,182,540,810,628,358,405,134,934,772,603,864,824,196,758,108,236,194,199,148,565,200,350,910,840,533,407,424,865,1709,12,525,530,776.3,775,780,774,7,640,1511,700,365,1075,58.27664399,0.361548364,-1.810878634,-0.281190693,3
1151,Male,45,Ames IA,Midwest,White Collar,18,2,2.5,Economy,1989,Non-sedan,White,1803.4,92.97052154,Married,70000,10.5,NaN,36,32,NaN,NaN,NaN,624,272,236,567,875,639,331,501,147,1102,NaN,634,1102,805,269,833,117,266,230,204,155,568,196,404,1116,905,572,484,534,951,1803,25,659,660,840.6,839,844,839,14.5,661,1759,970,482,1065,96.14512472,0.185196131,0.119190305,0,NaN
1152,Female,44,Ames IA,South,,12,2,2.5,Economy,1989,Sedan,White,1574.8,58.9569161,Married,70000,8.5,NaN,NaN,NaN,10,10,34,586,233,185,495,740,555,310,387,130,896,773,579,868,735,255,777,116,242,199,188,146,541,189,416,1050,751,502,390,430,887,1629,12.5,620,630,708.6,699,705,722,21,705,1560,698,360,989,61.67800454,0.029912334,0.060236886,0.204972789,2
1153,Male,41,Ames IA,Midwest,Blue Collar,14,1,5,Economy,1996,Sedan,White,1752.6,82.53968254,Divorced/Widowed,52500,9,NaN,33,31,NaN,NaN,NaN,591,265,214,540,831,617,326,475,147,1026,NaN,620,1049,779,225,775,131,266,220,210,156,568,195,371,1030,883,558,491,487,910,1759,22.5,604,605,804.3,811,801,801,11.5,643,1700,864,432,1019,83.67346939,-0.322131604,0.025465073,0,NaN
1154,Male,20,Ames IA,Midwest,,12,NaN,8,Luxury,1997,Sedan,White,1778,54.42176871,Single,150000,9.5,NaN,31,32,NaN,NaN,NaN,601,238,195,524,808,613,329,388,138,813,NaN,590,830,835,242,797,128,258,202,198,152,575,195,317,852,931,567,428,438,910,1784,6.5,475,472,785.6,794,782,781,5,560,1590,742,412,1032,53.51473923,-2.139814615,-2.651655674,0,NaN
1155,Male,19,Ames IA,Midwest,,12,0,8,Economy,1995,Non-sedan,White,1727.2,74.82993197,Single,70000,9,NaN,33,32,NaN,NaN,NaN,594,266,209,537,825,616,328,428,154,974,NaN,588,993,757,241,786,129,247,220,199,157,592,210,366,1036,835,543,472,477,905,1706,14,610,604,774,769,776,777,9.5,615,1631,797,436,986,75.28344671,-0.447311342,0.339255184,0,NaN
1156,Male,18,Ames IA,Midwest,,12,0,5,Economy,1989,Sedan,White,1676.4,58.9569161,Single,70000,9.5,NaN,31,30,NaN,NaN,NaN,557,256,201,517,796,595,316,401,140,850,NaN,575,875,739,211,739,110,255,195,194,153,585,207,340,945,811,524,435,463,858,1659,11,539,527,772.3,759,787,771,9,575,1560,765,408,949,60.54421769,-1.463863015,-0.479578465,0,NaN
1157,Female,24,Ames IA,Midwest,White Collar,18,0,0.5,Economy,1988,Non-sedan,White,1803.4,61.2244898,Single,12500,9,NaN,NaN,NaN,12,11,36,664,239,205,542,805,600,337,345,130,892,734,583,855,811,324,878,122,252,193,194,142,568,201,426,1030,805,527,430,425,994,1800,12,577,580,745.3,738,746,752,12.5,680,1681,705,425,1073,62.13151927,2.098616123,-0.824470937,-1.322808743,3
1158,Female,39,Ames IA,Midwest,White Collar,18,0,5,Economy,1998,Sedan,White,1739.9,65.75963719,Married,90000,10,NaN,NaN,NaN,NaN,10,34,606,260,186,535,787,601,349,373,140,881,798,626,855,803,249,812,124,259,193,197,146,568,195,433,1100,838,545,395,426,915,1742,11,641,642,740.3,728,754,739,14,722,1611,780,405,1069,68.48072562,1.699166894,-0.474659741,-1.057704449,1
1159,Male,39,Ames IA,Midwest,White Collar,16,0,2.5,Economy,1998,Sedan,White,1854.2,103.4013605,Married,90000,11,46,38,33,NaN,NaN,NaN,645,295,223,575,889,666,352,470,143,1130,NaN,668,1100,790,266,839,124,274,233,208,158,582,200,412,1141,892,586,493,540,966,1843,22,677,687,872.3,861,885,871,15.5,647,1843,1057,538,1068,104.0816327,1.056344748,-0.023664836,0,NaN
1160,Female,63,Ames IA,Midwest,White Collar,14,5,5,Economy,1992,Non-sedan,White,1524,56.6893424,Divorced/Widowed,25000,6.5,NaN,NaN,NaN,10,12,34,550,234,178,484,690,512,306,375,133,915,763,524,863,659,239,725,104,234,171,175,144,534,178,404,1010,697,459,390,425,826,1496,17,590,585,631.3,629,628,637,19.5,722,1499,740,305,924,59.41043084,-1.640763283,0.721399367,0.767214477,2
1161,Male,37,Ames IA,Midwest,Service,16,3,2.5,Economy,1996,Non-sedan,White,1981.2,97.50566893,Married,70000,14,46,36,36,NaN,NaN,NaN,625,280,233,627,987,754,394,445,155,1063,NaN,670,1086,909,204,852,124,299,218,221,165,603,205,370,1033,993,640,492,508,982,1945,28,609,625,921.6,923,919,923,15.5,607,1797,948,552,1120,97.27891156,0.447542548,-1.795678854,0,NaN
1162,Female,39,Ames IA,Midwest,White Collar,16,0,2.5,Economy,1998,Sedan,White,1574.8,55.78231293,Married,NaN,6.5,NaN,NaN,NaN,8,6,34,569,223,190,492,715,525,302,385,120,887,750,572,865,696,278,748,114,221,181,178,140,543,192,369,955,738,459,410,410,861,1583,23.5,563,567,641.3,644,644,636,19,650,1509,730,352,945,55.10204082,-0.421009302,-0.003978488,-0.387734085,2
1163,Female,55,Ames IA,Midwest,,16,2,2.5,Economy,1992,Sedan,White,1625.6,45.80498866,Married,NaN,5.5,NaN,NaN,NaN,6,5,32,567,208,172,485,734,562,313,350,144,783,698,550,762,741,239,743,109,221,177,187,159,556,195,365,920,756,487,377,403,884,1632,10,516,505,688.6,688,689,689,17,675,1438,629,335,1014,46.93877551,0.165411174,-0.515710711,-0.312604427,1
1164,Female,45,Ames IA,Midwest,,16,2,8,Luxury,1991,Sedan,White,1625.6,64.39909297,Married,70000,6,NaN,NaN,NaN,10,10,36,564,222,197,506,751,554,309,398,137,908,765,580,871,723,245,783,118,216,194,179,145,575,190,414,1052,770,483,398,431,890,1640,11,633,635,704.3,704,706,703,15,721,1577,745,372,1003,66.4399093,0.196249664,0.276244968,0.577839434,2
1165,Male,51,Ames IA,Midwest,Blue Collar,21,3,10,Economy,1997,Sedan,White,1778,77.09750567,Divorced/Widowed,37500,9,40,33,32,NaN,NaN,NaN,605,272,216,529,833,617,313,396,141,928,NaN,603,965,767,269,807,126,260,218,203,156,584,204,377,1017,904,548,463,462,939,1777,19,599,613,772,774,770,772,18,674,1739,932,487,1027,79.59183673,0.465797335,0.133392155,0,NaN
1166,Female,36,Ames IA,Midwest,Service,18,0,5,Economy,1990,Sedan,White,1879.6,108.8435374,Married,90000,11,NaN,NaN,NaN,16,18,38,667,285,192,566,874,682,374,515,140,1151,988,720,1071,864,281,877,121,272,205,202,150,574,192,517,1286,913,586,450,559,983,1875,52,820,809,849.3,851,848,849,42,825,1839,1061,445,1173,124.4897959,3.393693686,1.501117468,-1.020005822,3
1167,Female,22,Ames IA,Midwest,,16,0,0.5,Economy,1993,Sedan,White,1714.5,54.42176871,Single,150000,8,NaN,NaN,NaN,7,8,34,574,232,183,532,800,617,349,365,136,813,705,615,811,858,213,761,116,235,179,193,141,540,180,349,910,898,545,381,390,860,1711,8.5,508,490,742.3,754,736,737,12,612,1445,692,330,1097,49.88662132,0.865217328,-1.25758791,-1.756129384,1
1168,Female,23,Ames IA,<undefined>,,16,0,2.5,Economy,1992,Sedan,Asian,1651,54.42176871,Single,12500,8,NaN,NaN,NaN,6,6,36,591,235,182,502,745,563,320,370,152,792,675,548,798,714,264,794,113,234,187,187,162,558,170,369,960,748,495,395,409,904,1646,12.5,550,532,687.6,689,688,686,13.5,685,1549,648,365,992,53.51473923,-0.117678933,-0.567392349,-0.216583028,1
1170,Male,44,Ames IA,Midwest,Service,16,0,10,Economy,1994,Non-sedan,White,1803.4,82.0861678,Single,70000,10,44,33,33,NaN,NaN,NaN,613,258,209,557,870,661,348,499,149,1070,NaN,626,1085,828,233,798,125,267,220,217,165,590,197,374,1015,878,560,500,503,912,1778,17,582,590,866.3,869,868,862,11,649,1737,902,445,1070,85.26077098,0.132966682,-0.082483768,0,NaN
1171,Female,40,Ames IA,Midwest,White Collar,12,3,10,Economy,1992,Non-sedan,White,1625.6,52.60770975,Divorced/Widowed,NaN,7.5,NaN,NaN,NaN,6,5,34,559,230,185,497,722,537,312,375,125,855,773,555,854,725,241,768,115,226,191,192,131,511,180,354,920,746,494,398,395,865,1611,5.5,536,520,684.6,680,684,690,12,635,1459,681,355,986,52.83446712,-0.479274154,-0.555828631,-0.369361907,1
1173,Male,48,Ames IA,Midwest,White Collar,18,4,5,Economy,1992,Non-sedan,White,1905,92.97052154,Married,25000,10.5,42,38,34,NaN,NaN,NaN,663,280,210,572,892,682,362,475,147,1047,NaN,657,995,835,275,853,141,276,210,201,160,585,200,410,1085,976,599,485,494,977,1885,25,637,639,852,855,851,850,22,735,1837,1004,495,1129,97.27891156,2.122957468,0.147737116,0,NaN
1174,Female,35,Dayton OH,Midwest,White Collar,14,0,10,<undefined>,NaN,<undefined>,,1492.25,117.9138322,Single,NaN,12.5,NaN,NaN,NaN,NaN,14,48,611,274,215,586,870,655,371,520,142,1286,1054,661,1180,727,264,771,133,266,230,260,163,595,192,514,1287,888,556,480,526,874,1685,48,790,804,770.3,769,765,777,25,923,1826,1139,405,1063,124.2630385,0.738593757,2.760883808,1.71481514,NaN
1175,Female,51,Dayton OH,South,White Collar,12,2,5,Economy,1991,Sedan,Black,1651,77.09750567,Divorced/Widowed,52500,9,NaN,NaN,NaN,10,12,36,550,250,200,528,815,615,328,400,131,978,824,618,925,756,212,742,116,257,188,204,144,555,183,446,1143,820,521,405,457,854,1651,28,684,665,712.6,695,732,711,33.5,743,1603,839,335,1017,78.68480726,0.727230608,0.242778823,0.230246782,3
1176,Male,38,Dayton OH,South,Management,18,0,10,Economy,1998,Sedan,White,1778,68.02721088,Divorced/Widowed,150000,9,NaN,32,33,NaN,NaN,NaN,596,265,213,543,844,631,330,402,142,884,NaN,588,896,788,236,821,126,265,196,209,157,595,210,360,968,854,545,435,458,948,1779,18,548,563,787.3,790,785,787,11.5,635,1641,848,467,1030,71.88208617,-0.773695469,-1.097748637,0,NaN
1177,Female,45,Dayton OH,Midwest,White Collar,18,0,2.5,Economy,1995,Sedan,,1651,110.6575964,Single,NaN,9.5,NaN,NaN,NaN,18,20,40,582,305,196,522,800,604,326,440,141,1078,943,617,990,706,252,744,118,255,212,201,165,625,209,593,1311,744,522,416,460,878,1641,37,800,815,752,745,764,747,42,780,1700,937,444,964,109.0702948,0.308568567,1.209904552,2.051515818,3
1178,Female,29,Dayton OH,Midwest,,16,1,0.5,Economy,1995,Sedan,Black,1524,114.2857143,Married,37500,8.5,NaN,NaN,NaN,22,20,46,571,243,180,515,777,597,335,539,135,1375,1090,604,1195,651,254,710,127,237,203,192,157,592,197,514,1380,780,485,472,550,835,1531,52.5,830,820,712.3,708,709,720,37.5,915,1795,1063,440,946,116.7800454,-4.374224663,2.699569702,5.059420109,5
1179,Male,32,Dayton OH,Midwest,,12,1,2.5,<undefined>,NaN,<undefined>,Black,1714.5,129.2517007,Divorced/Widowed,12500,13,46,42,32,NaN,NaN,NaN,619,308,233,599,923,690,366,578,164,1117,NaN,665,1172,879,240,790,121,295,240,224,163,601,206,436,1207,913,596,525,577,936,1837,37,750,762,865.6,865,867,865,24.5,692,1882,1086,620,1077,128.1179138,1.145095468,0.271521717,0,NaN
1180,Female,45,Dayton OH,Midwest,,12,3,0.5,Economy,1994,Non-sedan,Black,1625.6,111.1111111,Divorced/Widowed,17500,10,NaN,NaN,NaN,22,20,44,590,280,198,553,826,628,355,510,133,1270,1154,621,1188,734,252,741,129,269,210,206,145,587,194,462,1282,820,515,446,576,839,1612,44.5,705,740,775,771,794,760,37,823,1784,1303,480,968,113.8321995,-0.377199143,1.415000439,0.746522963,5
1181,Male,35,Dayton OH,Northeast,White Collar,24,0,5,Luxury,1993,Sedan,,1651,62.58503401,Single,70000,7.5,38,30,28,NaN,NaN,NaN,564,238,212,508,789,577,296,406,145,858,NaN,581,886,708,230,785,120,236,196,186,153,589,208,341,930,756,482,445,459,898,1648,11.5,554,542,738,736,739,739,10.5,607,1598,772,452,938,61.9047619,-1.352898121,-0.019340651,0,NaN
1182,Female,40,Dayton OH,Midwest,White Collar,16,0,5,Economy,1990,Non-sedan,Black,1930.4,167.8004535,Single,25000,13.5,NaN,NaN,NaN,22,20,44,612,289,192,585,901,709,393,512,135,1306,1054,805,1225,904,225,779,135,301,207,231,148,620,206,663,1610,965,649,468,576,900,1860,56,995,987,845.3,841,855,840,37,940,1890,1235,405,1215,154.8752834,2.345198393,2.615677357,1.758044362,2
1183,Female,64,Dayton OH,South,,12,3,2.5,Economy,1983,Sedan,Black,1625.6,74.82993197,Divorced/Widowed,12500,9,NaN,NaN,NaN,14,16,36,521,240,205,530,798,593,325,440,136,975,784,637,931,731,184,708,107,250,207,195,151,588,194,455,1200,704,510,406,461,814,1596,24,690,694,721.3,701,732,731,31,750,1575,742,325,1004,75.28344671,-0.451307863,0.70536685,-0.295196712,4
1184,Female,41,Dayton OH,South,,18,2,8,Economy,1987,Sedan,White,1625.6,90.70294785,Divorced/Widowed,25000,8.5,NaN,NaN,NaN,16,16,38,560,252,230,540,833,603,310,485,142,1127,1012,585,1085,735,228,745,113,239,196,184,156,565,186,422,1150,898,520,460,523,855,1652,22,630,657,738.6,734,738,744,30.5,745,1728,965,425,1011,93.19727891,0.319074899,0.886510193,-0.709083855,2
1185,Male,63,Dayton OH,Midwest,,16,2,2.5,Economy,1993,Sedan,White,1905,111.5646259,Divorced/Widowed,12500,14,46,42,36,NaN,NaN,NaN,688,298,212,576,885,673,364,441,154,1132,NaN,656,1095,901,284,882,131,300,230,217,156,572,194,421,1096,1024,640,488,497,1000,1965,24,610,615,904,901,902,909,15.5,765,1882,1063,497,1211,106.122449,2.626086473,-0.198163912,0,NaN
1186,Male,33,Dayton OH,South,Service,18,0,5,Economy,1995,Sedan,White,1701.8,71.20181406,Married,NaN,8.5,38,30,30,NaN,NaN,NaN,554,270,206,539,819,613,333,426,141,972,NaN,579,1008,757,200,763,123,255,207,190,156,577,199,355,989,829,524,445,473,880,1677,18,591,602,770,769,771,770,16,610,1574,805,413,986,72.78911565,-1.026345849,-0.007401571,0,NaN
1187,Male,23,Dayton OH,Foreign,White Collar,16,0,2.5,Economy,1986,Sedan,White,1752.6,68.02721088,Single,NaN,9.5,NaN,32,31,NaN,NaN,NaN,566,265,210,554,852,642,344,431,138,982,NaN,609,967,787,190,759,120,260,207,202,153,585,199,359,967,865,543,455,476,866,1730,8.5,557,552,777.6,775,779,779,7.5,556,1592,838,440,980,68.93424036,-0.347057104,-0.35225603,0,NaN
1188,Male,27,Dayton OH,Midwest,White Collar,18,0,0.5,Economy,1997,Sedan,White,1828.8,79.36507937,Married,90000,10.5,42,34,32,NaN,NaN,NaN,630,280,203,555,866,663,352,432,145,1020,NaN,632,1022,822,242,836,124,278,207,205,152,575,191,342,942,937,572,400,479,954,1831,21,540,545,836.6,833,838,839,14.5,637,1702,823,455,1076,73.01587302,0.366485357,-1.040264964,0,NaN
1189,Male,37,Dayton OH,Northeast,White Collar,18,2,2.5,Economy,1992,Sedan,White,1955.8,86.16780045,Married,52500,11,40,34,NaN,NaN,NaN,NaN,629,268,206,560,844,638,354,473,147,1012,NaN,637,1002,818,258,830,127,270,218,204,152,595,207,402,1106,909,574,473,487,973,1818,18,623,629,802.3,799,789,819,16,652,1745,905,507,1038,88.66213152,0.420532823,-0.013808538,0,NaN
1190,Male,56,Dayton OH,Midwest,Service,14,2,10,Economy,1995,Sedan,White,1816.1,99.77324263,Married,52500,12,42,38,30,NaN,NaN,NaN,636,273,182,518,825,643,336,487,151,1110,NaN,624,1072,767,275,798,122,284,220,195,158,591,211,400,1070,905,572,482,500,923,1785,28,636,635,838.6,852,854,810,13,710,1814,1037,548,1056,98.41269841,0.629434288,0.508841991,0,NaN
1191,Male,57,Dayton OH,Midwest,Service,18,4,2.5,Economy,1988,Sedan,White,1955.8,79.8185941,Married,52500,10,40,34,32,NaN,NaN,NaN,638,274,197,548,855,658,351,462,146,1019,NaN,616,1027,797,258,808,130,264,214,202,158,577,195,378,1000,888,552,452,477,934,1797,18,575,582,830,839,825,826,10,648,1745,912,450,1052,81.17913832,1.034129262,0.165527567,0,NaN
1192,Male,36,Dayton OH,Midwest,White Collar,21,1,10,Economy,1998,Non-sedan,White,1841.5,88.43537415,Married,NaN,12,44,31,34,NaN,NaN,NaN,645,303,210,577,888,678,367,516,150,1050,NaN,632,1084,835,262,858,132,285,222,205,159,581,199,397,1086,856,569,485,502,973,1831,16,662,662,835.3,832,835,839,12.5,661,1717,844,468,1077,91.15646259,0.453742683,-0.038582411,0,NaN
1193,Male,59,Dayton OH,South,,24,6,2.5,Economy,1995,Non-sedan,White,1854.2,86.16780045,Married,150000,12,42,36,33,NaN,NaN,NaN,621,287,207,539,845,638,332,451,135,1029,NaN,645,1030,825,293,807,125,287,234,208,153,593,213,374,1014,975,573,452,481,943,1830,17,559,564,804,794,804,814,8,729,1748,943,445,1115,88.20861678,1.10234952,-0.160158679,0,NaN
1194,Female,58,Dayton OH,South,White Collar,12,3,0.5,Luxury,1993,Sedan,White,1612.9,57.14285714,Married,NaN,7.5,NaN,NaN,NaN,8,8,34,562,235,187,474,750,563,287,358,128,856,697,560,852,729,244,756,112,237,177,176,143,538,184,400,1036,764,503,378,406,862,1608,8.5,605,600,717.6,725,715,713,15.5,718,1518,670,353,990,58.04988662,-0.276620209,0.245502606,-0.812130451,4
1195,Female,43,Dayton OH,Midwest,White Collar,18,2,5,Economy,1996,Sedan,White,1587.5,70.29478458,Married,150000,7,NaN,NaN,NaN,12,12,36,566,243,197,491,745,548,294,413,133,1023,836,569,966,710,253,757,110,227,181,170,149,563,189,416,1065,777,493,418,454,861,1592,20.5,627,635,719.6,713,719,727,25.5,740,1606,823,357,988,71.6553288,-0.219885185,0.376802951,0.454462439,3
1196,Male,36,Dayton OH,Midwest,,21,0,2.5,Economy,1997,Sedan,White,1854.2,77.09750567,Married,150000,10.5,40,32,34,NaN,NaN,NaN,617,282,204,561,877,673,357,427,143,958,NaN,645,963,859,231,826,120,274,205,212,157,575,203,376,1010,964,585,454,490,956,1852,8.5,606,605,839.6,842,838,839,11,637,1650,849,442,1125,81.85941043,0.82022804,-0.759706497,0,NaN
1197,Female,45,Dayton OH,Midwest,,14,1,2.5,Economy,1993,Sedan,White,1625.6,62.58503401,Divorced/Widowed,NaN,8,NaN,NaN,NaN,10,11,36,564,233,208,495,754,546,287,354,134,980,784,558,922,700,253,772,107,245,182,178,149,549,193,373,979,755,480,408,433,881,1615,15.5,566,580,691.3,689,691,694,13.5,575,1556,818,428,938,61.2244898,-0.787432134,0.372213513,-0.556306243,3
1198,Female,22,Dayton OH,Midwest,White Collar,14,0,5,Economy,1990,Sedan,White,1701.8,82.0861678,Single,NaN,11.5,NaN,NaN,NaN,NaN,12,34,584,248,214,509,803,589,295,401,133,1049,836,616,969,744,266,780,110,250,176,184,142,546,187,474,1172,825,527,410,457,889,1672,22,705,712,773.3,780,780,760,30,770,1671,841,413,1047,82.31292517,1.01094687,1.02532506,0.925486207,4
